#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Population
151,Réunion,522,+1,2 ,,472,,48,3,583,2,"17,200","19,212"
152,Tanzania,509,,21 ,,183,,305,7,9,0.4,,
153,Suriname,501,+11,13 ,+2,217,+18,271,4,854,22,"1,244","2,121"
154,Montenegro,501,+20,11 ,,315,,175,,798,18,"13,186","20,995"
155,Taiwan,447,,7 ,,435,,5,,19,0.3,"76,209","3,200"
156,Vietnam,355,, ,,335,+5,20,1,4,,"275,000","2,825"
157,Mauritius,341,,10 ,,326,,5,,268,8,"171,792","135,081"
158,Isle of Man,336,,24 ,,312,,0,,"3,951",282,"6,273","73,772"
159,Myanmar,299,,6 ,,221,+3,72,,5,0.1,"74,978","1,378"
160,Angola,276,+9,11 ,,93,+12,172,6,8,0.3,"10,000",304
161,Comoros,272,,7 ,,161,,104,,313,8,,
162,Syria,269,+13,9 ,,102,,158,,15,0.5,,
163,Martinique,242,,14 ,,98,,130,,645,37,,
164,Guyana,235,+5,12 ,,114,+5,109,1,299,15,"2,552","3,245"
165,Mongolia,220,+1, ,,175,,45,9,67,,"22,175","6,765"
166,Cayman Islands,199,+3,1 ,,189,+3,9,,"3,028",15,"23,280","354,246"
167,Namibia,196,+13, ,,24,,172,1,77,,"8,913","3,508"
168,Eritrea,191,, ,,53,,138,,54,,,
169,Faeroe Islands,187,, ,,187,,0,,"3,827",,"13,177","269,672"
170,Guadeloupe,182,,14 ,,157,,11,2,455,35,"8,239","20,591"
171,Gibraltar,177,, ,,176,,1,,"5,254",,"12,743","378,232"
172,Botswana,175,,1 ,,25,,149,1,74,0.4,"36,868","15,681"
173,Burundi,170,,1 ,,115,,54,,14,0.08,493,41
174,Bermuda,146,,9 ,,135,+1,2,1,"2,344",145,"11,298","181,412"
175,Brunei ,141,,3 ,,138,,0,,322,7,"29,111","66,546"
176,Cambodia,141,, ,,130,+1,11,1,8,,"36,104","2,160"
177,Trinidad and Tobago,126,,8 ,,109,,9,,90,6,"4,969","3,551"
178,Bahamas,104,,11 ,,87,,6,1,264,28,"2,388","6,073"
179,Monaco,103,,4 ,,95,,4,,"2,625",102,"16,200","412,834"
180,Aruba,103,+2,3 ,,98,,2,,965,28,"2,412","22,592"
181,Barbados,97,,7 ,,90,,0,1,338,24,"7,770","27,038"
182,Liechtenstein,82,,1 ,,81,,0,,"2,151",26,900,"23,605"
183,Sint Maarten,77,,15 ,,62,,0,,"1,796",350,500,"11,662"
184,Seychelles,77,+7, ,,11,,66,,783,,,
185,Bhutan,76,, ,,44,+6,32,,99,,"24,509","31,765"
186,Antigua and Barbuda,69,,3 ,,22,,44,1,705,31,680,"6,944"
187,French Polynesia,62,, ,,60,,2,,221,,"4,649","16,550"
188,Gambia,47,+2,2 ,,26,,19,,19,0.8,"2,117",876
189,Macao,46,, ,,45,,1,,71,,,
190,Saint Martin,43,,3 ,,37,,3,1,"1,112",78,685,"17,719"
191,Turks and Caicos,41,+13,1 ,,11,,29,,"1,059",26,647,"16,713"
192,St. Vincent Grenadines,29,, ,,29,,0,,261,,844,"7,608"
193,Lesotho,27,, ,,4,,23,,13,,"3,000","1,400"
194,Belize,24,,2 ,,18,,4,,60,5,"2,188","5,504"
195,Timor-Leste,24,, ,,24,,0,,18,,"1,568","1,189"
196,Curaçao,23,,1 ,,19,,3,,140,6,"1,080","6,582"
197,Grenada,23,, ,,23,,0,,204,,"5,465","48,568"
198,New Caledonia,21,, ,,21,,0,,74,,"8,406","29,445"
199,Laos,19,, ,,19,,0,,3,,"14,907","2,049"
200,Saint Lucia,19,, ,,19,,0,,103,,"1,667","9,078"
201,Dominica,18,, ,,18,,0,,250,,623,"8,654"
202,Fiji,18,, ,,18,,0,,20,,"4,000","4,462"
203,Saint Kitts and Nevis,15,, ,,15,,0,,282,,454,"8,534"
204,Falkland Islands,13,, ,,13,,0,,"3,738",,"1,027","295,285"
205,Greenland,13,, ,,13,,0,,229,,"3,502","61,688"
206,Vatican City,12,, ,,12,,0,,"14,981",,,
207,Montserrat,11,,1 ,,10,,0,,"2,204",200,61,"12,220"
208,Papua New Guinea,11,, ,,8,,3,,1,,"5,637",630
209,Western Sahara,10,,1 ,,8,,1,,17,2,,
210,MS Zaandam,9,,2 ,,,,7,,,,,
211,British Virgin Islands,8,,1 ,,7,,0,,265,33,212,"7,013"
212,Caribbean Netherlands,7,, ,,7,,0,,267,,424,"16,170"
213,St. Barth,6,, ,,6,,0,,607,,152,"15,389"
214,Anguilla,3,, ,,3,,0,,200,,180,"11,998"
215,Saint Pierre Miquelon,1,, ,,1,,0,,173,,,
